description,funding_total_usd,competitors,target
A sustainable Neural Net app,111567,92,0
A platform connecting doctors with app,927552,57,0
A local app app,334012,5,1
Selling luxury app online,6515651,63,1
I want to build a app for rich people,56397,47,0
Basically Facebook for freelancers,387486,28,0
I want to build a Drone for seniors,2503590,56,1
Like Amazon but for seniors,443410,31,0
A smart app app,9713,32,0
Automated app tool,54540,41,0
Website to find seniors,433323,38,0
Algorithm that helps kids to travel cheaper,9681712,47,1
A platform connecting doctors with clothing brand,448216,25,0
Algorithm that helps doctors to meet people,6156059,43,1
app that helps students to find jobs,118881,29,0
Website to find doctors,221041,63,0
Automated app tool,245958,34,0
Basically Airbnb for freelancers,495035,35,0
A platform connecting designers with gym,462967,52,1
I want to build a app for freelancers,134208,31,0
Automated Platform tool,4907677,81,1
Best fast restaurant in Delhi,236140,55,1
Best local gym in New York,152772,43,0
Chatbot that helps freelancers to get fit,3220388,57,1
Best fast bakery in Global,97401,36,1
Selling exclusive agency online,158284,18,0
A luxury app app,241614,10,0
I want to build a app for gamers,244859,35,0
Best crazy app in online,319164,92,0
Chatbot that helps designers to learn coding,6923529,54,1
SaaS that helps gamers to find jobs,5940137,62,1
app that helps gamers to save money,94938,15,0
AI that helps doctors to save money,6187572,85,1
Basically Google for doctors,1541135,56,1
Best exclusive app in online,4346242,86,0
Selling luxury store online,443526,52,0
Like Tinder but for designers,2723986,61,1
Best fast bakery in London,361844,18,1
A platform connecting rich people with app,3689216,78,1
I want to build a AI for designers,3381178,95,1
A platform connecting freelancers with bakery,482897,29,0
Best local cafe in Delhi,379300,17,0
Automated app tool,402539,42,0
Neural Net that helps rich people to get fit,7385449,47,1
A platform connecting kids with cafe,386855,12,0
A platform connecting freelancers with app,1391781,89,0
Website to find rich people,218511,27,0
Automated app tool,132877,54,0
I want to build a app for dogs,190902,54,0
A platform connecting kids with app,1111497,93,1
app that helps gamers to get fit,280458,57,0
Like Facebook but for freelancers,486751,14,1
Selling exclusive app online,3836230,91,1
Basically Google for doctors,226572,22,0
Automated app tool,42479,22,0
Like Tinder but for gamers,433911,59,0
Automated app tool,361130,19,1
Like Facebook but for designers,371971,36,0
app that helps seniors to learn coding,155890,25,0
Website to find freelancers,338227,44,0
Like Google but for freelancers,1480783,49,1
A platform connecting seniors with consulting,136873,33,0
Like Amazon but for designers,169461,79,0
I want to build a Platform for seniors,5518846,72,1
Best luxury app in online,3927066,64,1
Best local consulting in Remote,268997,21,1
Basically Netflix for freelancers,188369,20,1
A crazy Neural Net app,2747326,65,1
Like Tinder but for students,2230484,86,0
Like Netflix but for freelancers,5433118,71,1
I want to build a app for gamers,188605,18,1
Like Google but for freelancers,9452179,74,1
Like Netflix but for seniors,344822,91,0
Basically Netflix for seniors,284048,63,0
A fast app app,213784,66,0
Like Google but for kids,407420,52,0
A platform connecting kids with cafe,231681,37,0
Website to find gamers,348682,51,0
Selling exclusive app online,7753290,67,1
A fast app app,158946,19,0
I want to build a SaaS for freelancers,9175916,65,1
A crazy Drone app,2730153,62,1
Basically Netflix for students,110921,22,0
app that helps doctors to learn coding,68662,15,0
I want to build a app for gamers,110927,43,0
Automated Platform tool,7506017,80,1
Like Amazon but for freelancers,300373,65,1
Basically Uber for students,6427988,92,0
Best local restaurant in Bangalore,454833,51,0
Like Google but for seniors,260290,16,0
A exclusive app app,397097,65,0
A simple Chatbot app,1610187,76,1
app that helps designers to meet people,125066,49,0
I want to build a app for dogs,130660,46,0
A platform connecting kids with app,7148530,84,0
app that helps freelancers to learn coding,167525,17,0
Website to find seniors,60823,61,0
Automated app tool,435147,53,0
AI that helps seniors to save money,1147016,95,1
Basically Uber for gamers,68375,77,0
app that helps dogs to learn coding,276649,10,1
Basically Tinder for designers,9902356,46,1
A platform connecting kids with restaurant,144260,24,0
Best local cafe in Bangalore,354622,44,1
Website to find gamers,1909443,56,1
A simple Neural Net app,1140097,57,1
A platform connecting kids with app,4863697,65,1
A platform connecting designers with agency,440788,26,0
Best sustainable consulting in Delhi,444492,55,0
Automated app tool,136334,30,0
A smart app app,314457,50,1
Website to find rich people,320541,42,0
app that helps doctors to get fit,339706,56,0
Basically Tinder for doctors,382775,61,0
A platform connecting rich people with app,5195747,49,1
I want to build a app for students,235180,40,0
I want to build a app for rich people,259975,58,0
Selling crazy restaurant online,401916,27,0
Like Google but for doctors,495452,38,0
Automated app tool,475277,52,0
Automated app tool,140788,36,0
I want to build a app for dogs,106604,50,0
Automated app tool,232486,45,0
Platform that helps rich people to save money,9061105,68,1
Website to find designers,60899,15,1
A platform connecting freelancers with bakery,353081,37,0
A exclusive app app,244300,25,0
A simple app app,218762,60,0
Best sustainable app in online,7520091,95,1
Selling local salon online,81842,11,0
A simple SaaS app,3798950,86,0
A platform connecting students with app,1424289,56,1
Selling fast app online,2352000,88,1
I want to build a app for students,171044,20,0
Website to find students,4929285,68,1
Automated app tool,34814,65,0
A cheap app app,426483,28,1
app that helps designers to save money,329516,60,0
A platform connecting seniors with app,7998733,57,1
Automated app tool,17778,39,0
A cheap Bot app,3627581,83,1
Like Airbnb but for seniors,61159,81,0
Best exclusive app in online,4212363,85,0
Selling cheap app online,6644313,88,0
Like Amazon but for rich people,345900,55,1
Best simple salon in Global,482276,60,0
Best exclusive store in Global,128351,23,0
A cheap app app,315861,59,0
Best luxury app in online,1153297,54,1
I want to build a app for kids,45818,68,0
A exclusive Crypto app,1284329,95,0
Automated SaaS tool,5824742,79,1
Automated app tool,405993,46,0
Like Airbnb but for designers,9725120,65,1
Automated Algorithm tool,3888651,64,1
Automated Algorithm tool,8049337,71,1
Algorithm that helps freelancers to save money,1362598,41,1
Automated app tool,236474,23,1
Best local gym in London,454021,34,0
A platform connecting students with agency,345161,41,0
A platform connecting seniors with app,6156181,73,1
Like Spotify but for rich people,467087,15,1
Selling exclusive app online,5132355,56,1
I want to build a app for freelancers,37079,46,0
Automated Algorithm tool,8372177,42,1
Selling smart store online,208681,58,0
Basically Airbnb for students,212131,72,0
Best fast app in online,2964253,83,1
Selling local agency online,225845,46,0
Selling sustainable cafe online,404076,34,0
Selling local app online,2752902,42,1
A platform connecting students with consulting,69621,45,0
A platform connecting freelancers with app,4934903,89,0
Automated Neural Net tool,1202819,77,1
app that helps dogs to get fit,480099,67,0
app that helps seniors to find jobs,429108,67,0
I want to build a app for seniors,357442,32,0
A platform connecting students with gym,491634,55,0
A platform connecting seniors with cafe,275328,23,0
I want to build a app for designers,362124,18,1
Website to find kids,105099,60,0
Best luxury store in Mumbai,153301,39,0
Selling luxury app online,3002619,81,0
A platform connecting students with store,280432,60,0
SaaS that helps dogs to learn coding,5966637,70,1
app that helps kids to save money,132160,55,0
Automated app tool,178233,32,0
A fast app app,31047,20,0
Chatbot that helps students to find jobs,182602,53,0
A platform connecting freelancers with agency,388471,33,0
Best exclusive app in online,5128746,66,1
Like Airbnb but for designers,9362454,57,1
Website to find rich people,244715,51,0
Best cheap app in online,6800834,92,1
Selling cheap app online,659221,62,0
Basically Netflix for dogs,228708,16,0
Selling luxury consulting online,435998,40,0
A platform connecting students with app,7241876,50,1
I want to build a SaaS for rich people,658229,85,0
Like Amazon but for designers,165951,30,0
Selling crazy app online,8879444,44,1
Platform that helps students to travel cheaper,3802306,71,1
app that helps doctors to travel cheaper,114471,60,0
Automated app tool,183663,34,1
Neural Net that helps doctors to learn coding,6501114,85,1
A platform connecting rich people with consulting,185397,13,1
Basically Spotify for dogs,2351615,78,1
A exclusive Bot app,129573,48,0
Automated app tool,486363,61,1
Selling sustainable app online,6046434,95,0
I want to build a Chatbot for freelancers,8175859,72,1
Automated app tool,426610,18,0
Blockchain that helps rich people to find jobs,9557016,83,0
Automated app tool,383265,60,0
I want to build a app for gamers,224039,37,0
Best crazy consulting in Global,20916,18,0
A platform connecting doctors with app,3110992,63,1
Website to find seniors,334612,48,0
I want to build a app for rich people,161358,61,0
Basically Spotify for gamers,9675938,68,1
Automated Platform tool,3138750,68,1
Basically Facebook for seniors,3978130,74,1
A platform connecting freelancers with app,675257,53,0
app that helps seniors to meet people,154972,14,1
Basically Netflix for freelancers,215198,88,0
A platform connecting freelancers with app,9256215,59,1
Automated app tool,134478,16,1
Like Tinder but for kids,9857401,88,0
I want to build a app for rich people,288908,39,0
Best simple consulting in Global,105713,38,1
A local app app,303068,5,1
Bot that helps freelancers to get fit,6218785,61,1
Best simple clothing brand in Global,242073,26,1
Selling crazy cafe online,299770,26,0
Basically Airbnb for doctors,4182420,79,1
Best crazy restaurant in Global,383085,40,0
I want to build a app for seniors,312831,59,0
Like Airbnb but for designers,145500,69,0
Best exclusive app in online,3745783,56,1
I want to build a app for dogs,494966,34,1
Best exclusive gym in Remote,328889,26,0
A platform connecting gamers with app,5389646,54,1
Best simple app in online,4842730,80,1
I want to build a app for kids,11378,40,0
A exclusive AI app,8280094,95,1
Best local restaurant in Delhi,119146,23,0
A crazy app app,319049,45,0
Automated app tool,122741,20,0
Automated Blockchain tool,9952088,57,1
A platform connecting dogs with consulting,43214,41,0
Selling simple salon online,362588,36,0
A local app app,101129,29,1
Best smart app in online,5845317,44,1
Best sustainable store in Remote,115522,75,0
Basically Tinder for designers,24070,65,0
I want to build a Crypto for gamers,9044591,72,1
Automated Platform tool,8822030,74,1
A platform connecting rich people with store,142461,42,1
A platform connecting freelancers with app,4331427,57,1
I want to build a app for gamers,486395,27,1
I want to build a AI for kids,5466175,95,1
I want to build a Crypto for seniors,8284987,95,0
Website to find designers,1404874,43,1
Automated app tool,79641,47,1
A luxury app app,222053,30,0
Like Spotify but for kids,9389633,57,1
I want to build a app for freelancers,489047,23,1
A sustainable Blockchain app,6768022,75,1
Best luxury gym in Mumbai,40091,47,1
app that helps rich people to learn coding,77938,38,0
A platform connecting freelancers with app,9958698,82,1
Like Tinder but for students,334101,66,0
Selling cheap app online,7107574,44,1
Like Uber but for designers,421126,23,1
A platform connecting designers with app,1208048,49,1
A local app app,49730,28,1
Best exclusive gym in Delhi,384328,61,0
Best cheap salon in Global,499890,53,0
Website to find kids,175867,56,0
Basically Netflix for gamers,9123203,55,1
A crazy app app,137982,32,0
Automated Crypto tool,3844902,95,1
A luxury app app,163248,59,1
Best luxury clothing brand in New York,474312,11,1
Website to find gamers,150418,21,0
Best fast app in online,8331380,75,1
Best exclusive agency in Delhi,414602,66,0
A cheap app app,86961,33,0
Blockchain that helps designers to travel cheaper,8100614,95,1
